iter	Passed	Remaining
0	244	244649
1	463	231051
2	692	230071
3	880	219287
4	1039	206817
5	1174	194626
6	1319	187152
7	1518	188294
8	1632	179728
9	1809	179116
10	2042	183681
11	2222	183000
12	2424	184056
13	2609	183755
14	2810	184537
15	2967	182508
16	3102	179407
17	3244	177010
18	3342	172580
19	3460	169547
20	3662	170742
21	3755	166963
22	3852	163626
23	3980	161870
24	4115	160510
25	4212	157804
26	4433	159769
27	4593	159453
28	4840	162068
29	5080	164267
30	5215	163029
31	5376	162636
32	5688	166680
33	5829	165633
34	6010	165726
35	6223	166659
36	6454	167989
37	6573	166405
38	6684	164704
39	6774	162593
40	6863	160537
41	7014	160007
42	7216	160610
43	7328	159233
44	7496	159085
45	7624	158127
46	7764	157433
47	7947	157634
48	8135	157901
49	8285	157420
50	8416	156611
51	8553	155941
52	8679	155076
53	8776	153748
54	8872	152454
55	9065	152812
56	9246	152975
57	9446	153431
58	9588	152928
59	9780	153232
60	9904	152458
61	10057	152159
62	10276	152843
63	10491	153443
64	10574	152117
65	10751	152143
66	10867	151337
67	10966	150304
68	11088	149618
69	11218	149043
70	11341	148399
71	11569	149112
72	11687	148416
73	11796	147614
74	11885	146590
75	11940	145177
76	12062	144599
77	12192	144125
78	12414	144728
79	12551	144347
80	12680	143866
81	12809	143400
82	12948	143055
83	12989	141645
84	13143	141480
85	13290	141251
86	13440	141052
87	13618	141135
88	13779	141044
89	13906	140608
90	14089	140744
91	14209	140246
92	14406	140502
93	14565	140381
94	14730	140325
95	14906	140371
96	15026	139887
97	15220	140094
98	15469	140783
99	15675	141079
100	15839	140982
101	15971	140614
102	16254	141557
103	16504	142191
104	16682	142199
105	16803	141718
106	16870	140800
107	17012	140513
108	17214	140717
109	17432	141047
110	17597	140935
111	17732	140594
112	17811	139816
113	17896	139091
114	17985	138411
115	18098	137919
116	18223	137533
117	18449	137904
118	18616	137823
119	18790	137796
120	18891	137233
121	19012	136826
122	19048	135816
123	19191	135580
124	19424	135971
125	19482	135139
126	19585	134630
127	19714	134304
128	19829	133885
129	19937	133427
130	20024	132834
131	20227	133011
132	20465	133413
133	20626	133302
134	20684	132536
135	20785	132045
136	20953	131992
137	21015	131268
138	21099	130693
139	21279	130715
140	21471	130809
141	21664	130903
142	21721	130178
143	21815	129681
144	21921	129260
145	22047	128960
146	22065	128039
147	22263	128164
148	22358	127700
149	22508	127550
150	22658	127398
151	22782	127102
152	22887	126701
153	22986	126278
154	23068	125761
155	23226	125661
156	23385	125564
157	23565	125584
158	23738	125560
159	23899	125474
160	23977	124950
161	24060	124463
162	24159	124058
163	24356	124157
164	24507	124022
165	24663	123911
166	24686	123139
167	24850	123071
168	25033	123094
169	25168	122881
170	25277	122545
171	25468	122604
